1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
0.0	975.0	-10.7	-5.2	-35.199999999999996	11.0	-9.2	35.3	37.9	20.3	27.700000000000003	40.8	39.800000000000004	19.400000000000002	-9.6	-11.700000000000001	20.7	-3.5000000000000004	16.3	10.2	-6.1	0.4	5.800000000000001	11.1	-3.9	-21.4	-6.4	46.5
0.0	310.40000000000003	13.900000000000002	27.800000000000004	19.6	-28.9	-2.0	31.900000000000002	26.3	21.6	18.6	12.8	11.200000000000001	8.1	-22.1	-1.4000000000000001	37.9	-0.3	4.3	0.7000000000000001	-16.6	4.9	9.5	13.5	-0.8	-61.5	1.9	100.69999999999999
0.0	-3.2	-0.1	-0.3	3.9	-0.6	5.6000000000000005	73.4	24.9	18.099999999999998	1.4000000000000001	0.7000000000000001	12.9	13.5	-4.5	-0.1	21.4	-1.0999999999999999	4.8	1.9	-23.200000000000003	1.4000000000000001	1.0	-7.7	0.8	-18.2	26.8	-3.6999999999999997
0.0	-3.6999999999999997	0.5	2.8000000000000003	2.1	-12.0	-4.3999999999999995	9.4	17.599999999999998	6.2	-1.6	1.6	25.8	12.1	-16.900000000000002	18.6	19.7	-1.3	11.3	8.5	-9.2	5.1	20.4	5.800000000000001	1.9	-79.2	96.89999999999999	106.0
0.0	-0.2	-4.1000000000000005	7.9	2.7	3.2	-6.800000000000001	14.899999999999999	18.8	12.5	-14.899999999999999	5.7	22.0	13.8	-6.3	-3.4000000000000004	10.7	-4.7	11.700000000000001	6.9	-10.299999999999999	8.3	13.0	10.299999999999999	4.5	-48.0	-2.4	70.1
0.0	27.700000000000003	2.8000000000000003	-8.4	-23.200000000000003	-6.9	-18.2	-7.1	-5.7	43.9	7.7	15.299999999999999	46.400000000000006	11.1	-23.400000000000002	4.0	12.1	2.3	3.3000000000000003	4.1000000000000005	-11.5	5.5	17.7	9.6	0.1	-41.199999999999996	10.299999999999999	58.599999999999994
0.0	-0.8	-3.6999999999999997	18.6	-3.9	-0.3	4.3	6.1	14.2	15.9	-0.1	9.700000000000001	20.8	8.0	-11.700000000000001	3.1	13.8	-3.4000000000000004	10.5	12.4	-5.7	10.4	24.9	13.0	1.9	-56.8	33.7	85.9
0.0	-10.299999999999999	-0.6	-50.6	-3.1	42.5	0.8	-7.5	34.0	12.0	108.89999999999999	24.4	23.200000000000003	23.7	-38.3	-7.6	24.9	3.3000000000000003	26.1	7.5	-7.3	10.4	51.5	10.0	5.4	-59.699999999999996	127.3	42.6
0.0	8.0	-19.0	-10.5	-5.5	-6.1	48.0	14.799999999999999	17.5	4.6	33.7	25.7	33.2	32.300000000000004	-12.6	-5.0	9.2	-5.6000000000000005	15.6	-2.0	-6.5	13.200000000000001	6.800000000000001	8.7	0.2	-59.199999999999996	-14.899999999999999	20.8
0.0	14.399999999999999	-4.8	-7.9	-11.899999999999999	0.3	4.2	8.5	23.599999999999998	21.0	10.5	9.2	16.400000000000002	18.2	-3.5000000000000004	1.0	8.5	-7.9	5.800000000000001	2.3	-15.6	4.9	14.000000000000002	10.9	-0.1	-55.60000000000001	40.300000000000004	55.800000000000004
0.0	7.1	-3.5999999999999996	11.200000000000001	12.4	-3.6999999999999997	3.1	5.0	25.4	13.900000000000002	6.6000000000000005	8.1	13.0	8.5	-13.200000000000001	-2.4	16.2	-7.199999999999999	8.7	4.7	-12.8	7.3	13.3	7.3	-2.3	-76.9	86.0	110.9
0.0	6.2	-2.3	16.3	-1.3	-1.6	4.7	10.7	12.6	16.900000000000002	5.7	27.800000000000004	22.0	-2.1999999999999997	-21.9	6.800000000000001	22.5	-1.0	-9.3	0.7000000000000001	-9.3	9.0	9.700000000000001	-0.5	-8.0	-52.6	39.5	47.8
0.0	4.3999999999999995	5.6000000000000005	4.9	1.3	-1.7999999999999998	-7.9	9.2	9.9	23.200000000000003	6.7	17.2	12.0	-7.8	-10.6	4.0	10.8	6.2	11.200000000000001	12.4	-1.6	-5.0	3.5999999999999996	2.1	4.3	-54.400000000000006	23.599999999999998	105.1
